Symbol: VDE,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
2009-09-28,78.99,80.62,78.97,80.39,110200
2009-09-29,80.33,80.7,79.6,80.18,136400
2009-09-30,80.53,80.69,78.73,79.81,176800
2009-10-01,79.67,79.72,77.35,77.37,135200
2009-10-02,76.12,77.43,75.84,76.84,169400
2009-10-05,77,78.95,76.75,78.74,128800
2009-10-06,79.7,81.09,79.7,80.51,131400
2009-10-07,80.35,81.19,80.02,81.17,118100
2009-10-08,81.67,83.52,81.58,83.22,188400
2009-10-09,83.19,83.52,82.56,83.15,92100
2009-10-12,84.18,84.89,83.79,84.28,101800
2009-10-13,84.3,84.43,82.87,84.26,117700
2009-10-14,85.33,85.76,84.88,85.71,152200
2009-10-15,85.12,87.43,85.1,87.42,212400
2009-10-16,87.03,87.5,86.44,87.21,171200
2009-10-19,87.41,88.63,86.97,88.32,201500
2009-10-20,88.51,88.51,86.48,87.68,301700
2009-10-21,87.1,89.44,86.99,87.36,445800
2009-10-22,87.17,88.19,85.98,87.99,412300
2009-10-23,88.31,88.38,85.4,86.12,390800
2009-10-26,86.21,87.97,84.32,84.53,419400
2009-10-27,84.7,86.03,84.31,85.1,337000
2009-10-28,84.72,84.72,82.05,82.26,345700
2009-10-29,82.65,84.65,82.58,84.47,293100
2009-10-30,84.22,84.32,80.66,81.21,634900
2009-11-02,81.75,83.02,80.35,81.65,1082700
2009-11-03,80.67,83.26,80.3,82.83,842100
2009-11-04,83.55,84.37,82.59,82.68,607000
2009-11-05,83.28,84.3,82.81,84.16,516000
2009-11-06,83.27,84.77,83.11,83.87,479900
2009-11-09,84.99,85.73,84.95,85.55,270900
2009-11-10,85.41,86.07,84.71,85.66,394100
2009-11-11,86.49,86.75,85.21,85.65,480600
2009-11-12,85.31,85.66,83.41,83.75,524100
2009-11-13,83.96,84.89,83.08,84.31,419600
2009-11-16,85.25,86.96,85.23,86.51,465300
2009-11-17,86.43,86.63,85.64,86.4,551300
2009-11-18,86.85,86.92,85.47,86,326600
2009-11-19,85.5,85.5,83.5,83.97,244600
2009-11-20,83.67,83.68,82.52,83.04,496700
2009-11-23,84.93,85.57,84.07,84.28,491800
2009-11-24,84.47,84.79,83.18,84.69,710000
2009-11-25,85.14,85.77,84.17,85.62,896200
2009-11-27,83.2,84,82.46,83.48,246800
2009-11-30,83.39,84.27,82.86,83.59,460300
2009-12-01,84.52,85.35,84.5,84.84,318200
2009-12-02,84.86,85.15,83.91,84.29,400100
2009-12-03,84.38,84.49,82.82,82.97,442700
2009-12-04,83.83,84.78,81.84,82.4,544200
2009-12-07,81.98,83.2,81.94,82.26,270800
2009-12-08,81.94,81.94,80.42,80.84,422000
2009-12-09,80.96,81.62,79.96,80.86,374200
2009-12-10,81.56,82.18,81.1,81.84,242000
2009-12-11,82.2,82.41,81.43,81.95,181000
2009-12-14,83.16,83.16,82.48,82.73,380100
2009-12-15,82.55,83.45,82.49,83.07,232900
2009-12-16,83.5,84.43,83.43,83.73,395500
2009-12-17,83.2,83.62,82.65,83.1,157300
2009-12-18,83.75,84.07,83.01,83.4,201700
2009-12-21,84.03,84.72,83.87,84.38,146300
2009-12-22,83.48,83.84,83.28,83.56,214800
2009-12-23,83.94,84.37,83.56,84.19,216200
2009-12-24,84.56,84.68,84.27,84.53,76100
2009-12-28,85,85.23,84.4,84.75,97600
2009-12-29,85.11,85.11,84.03,84.15,147500
2009-12-30,83.89,84.14,83.59,84.08,123700
2009-12-31,84.38,84.48,83.37,83.37,115400
2010-01-04,84.48,85.99,84.48,85.97,209100
2010-01-05,86.04,86.88,85.74,86.85,182500
2010-01-06,86.77,88,86.63,87.85,191200
2010-01-07,87.46,87.79,86.82,87.64,138000
2010-01-08,87.38,88.31,87.09,88.3,103300
2010-01-11,89.09,89.18,87.52,88.23,202700
2010-01-12,87.01,87.43,86.48,86.84,173500
2010-01-13,86.96,87.48,85.68,87.28,194800
2010-01-14,87.25,87.77,86.98,87.52,104300
2010-01-15,87.35,87.58,86.21,86.81,178200
2010-01-19,86.62,87.66,86.38,87.62,163900
2010-01-20,86.62,86.62,85.52,86.18,198200
2010-01-21,86.33,86.48,84.35,84.49,193900
2010-01-22,84,84.58,82.28,82.45,277700
2010-01-25,83.07,83.86,82.81,83.08,173800
2010-01-26,82.45,83.82,82,82.55,190100
2010-01-27,82.42,83,80.86,82.06,218500
2010-01-28,82.6,82.89,80.19,81.26,273200
2010-01-29,81.92,82.53,79.33,79.8,223300
2010-02-01,80.52,82.3,80.52,82.21,168500
2010-02-02,82.62,83.54,82,83.54,222000
2010-02-03,83.15,83.79,82.47,82.74,159800
2010-02-04,81.87,81.92,79.2,79.26,213100
2010-02-05,79.17,79.51,76.94,79.12,487100
2010-02-08,79.15,80.17,78.5,78.5,175800
2010-02-09,79.5,81.09,79.33,80.12,232800
2010-02-10,80.17,80.3,78.58,79.85,228200
2010-02-11,79.74,81.29,79.39,81.24,132700
2010-02-12,80.36,81.12,79.7,81.06,197700
2010-02-16,82.36,83.24,82.08,83.02,199900
2010-02-17,83.27,83.42,82.38,82.89,186900
2010-02-18,82.77,83.55,82.4,83.38,125000
2010-02-19,83.1,83.94,82.79,83.68,132500
2010-02-22,83.94,83.94,82.38,82.51,149600
2010-02-23,82.19,82.32,80.8,81.07,166600
2010-02-24,81.21,81.9,80.86,81.58,145100
2010-02-25,80.42,81.65,79.75,81.6,207600
2010-02-26,81.77,82.03,81.12,81.74,143100
2010-03-01,82.26,82.76,82.23,82.65,142600
2010-03-02,83.1,83.91,82.99,83.37,244600
2010-03-03,83.74,84.37,83.62,83.65,160200
2010-03-04,83.76,84.06,82.86,83.26,112600
2010-03-05,83.95,84.8,83.94,84.75,83900
2010-03-08,84.95,85.16,84.28,84.67,61700
2010-03-09,84.24,85.15,84.24,84.71,111900
2010-03-10,84.75,85.53,84.42,85.34,101200
2010-03-11,85.17,85.39,84.87,85.29,86400
2010-03-12,85.82,85.83,84.96,85.38,79400
2010-03-15,85.09,85.09,83.65,84.4,93300
2010-03-16,84.88,85.28,84.31,85.23,78800
2010-03-17,85.59,86.53,85.49,86.04,105900
2010-03-18,86.15,86.2,84.36,84.75,87200
2010-03-19,84.83,85.04,82.93,83.63,328700
2010-03-22,82.77,83.75,82.29,83.52,113700
2010-03-23,83.67,83.93,83.19,83.91,99100
2010-03-24,83.38,84.11,83.19,83.43,175200
2010-03-25,84.01,84.13,81.9,81.98,125100
2010-03-26,82.23,82.54,81.5,82.01,87700
2010-03-29,82.48,83.65,82.44,83.55,84100
2010-03-30,83.72,83.75,83.14,83.6,56200
2010-03-31,83.66,84.41,83.46,84.01,79200
2010-04-01,84.68,85.68,84.68,85.55,94500
2010-04-05,86.13,87.23,85.92,87.13,139700
2010-04-06,86.91,87.46,86.72,87.2,67200
2010-04-07,87.05,87.05,85.9,86.38,135500
2010-04-08,85.87,86.93,85.35,86.76,90600
2010-04-09,87.24,87.68,87.15,87.61,75800
2010-04-12,87.64,88.35,87.57,87.85,123200
2010-04-13,87.75,87.86,86.65,87.44,73700
2010-04-14,87.92,88.39,87.26,88.36,111800
2010-04-15,88.34,88.78,88.18,88.5,106600
2010-04-16,88.04,88.36,86.5,87.08,140100
2010-04-19,86.37,87.1,85.99,87.08,105700
2010-04-20,87.7,89.05,87.7,88.84,103000
2010-04-21,88.89,89.27,88.08,88.69,93000
2010-04-22,88.01,88.89,87.35,88.83,156800
2010-04-23,88.9,90.92,88.89,90.92,176400
2010-04-26,91.04,91.23,90.55,90.6,237000
2010-04-27,90.14,90.74,87.83,87.98,347900
2010-04-28,88.57,89.13,87.75,88.87,181700
2010-04-29,89.37,89.89,88.36,88.88,168500
2010-04-30,89.04,89.11,87.24,87.77,189900
2010-05-03,88.2,89.33,87.08,88.65,255000
2010-05-04,87.59,87.59,85.5,86.32,221600
2010-05-05,84.81,86.15,84.24,85.03,316400
2010-05-06,84.25,87.19,75.28,81.91,473200
2010-05-07,82,82.64,79.28,80.33,351500
2010-05-10,83.57,83.99,81.33,83.67,189500
2010-05-11,82.7,84.36,82.54,83.13,166000
2010-05-12,83.37,84.61,83.37,84.37,146200
2010-05-13,84.34,84.87,83.57,83.84,96400
2010-05-14,83.11,83.31,80.98,82.01,289200
2010-05-17,82.23,82.65,79.67,81.24,361700
2010-05-18,82.45,83,80.15,80.5,671700
2010-05-19,80.12,80.68,78.32,79.57,607800
2010-05-20,77.7,77.75,75.8,75.95,625400
2010-05-21,74.6,77.48,74.3,77.32,459600
2010-05-24,77.21,77.26,75.4,75.46,299100
2010-05-25,73.29,75.6,72.93,75.46,325700
2010-05-26,76.18,77.24,75.42,75.63,325900
2010-05-27,77.58,78.79,77.3,78.79,108300
2010-05-28,78.56,78.77,76.86,77.29,119000
2010-06-01,76.31,76.67,73.69,73.72,358200
2010-06-02,74.11,76.96,74.06,76.96,242500
2010-06-03,77.56,78.14,76.19,78.06,243700
2010-06-04,76.63,78.05,74.83,75.33,125800
2010-06-07,75.6,76.44,74.5,74.5,209800
2010-06-08,74.57,75.97,73.99,75.8,166500
2010-06-09,76.59,77.64,74.6,74.99,116700
2010-06-10,76.97,78.67,76.94,78.57,136400
2010-06-11,77.91,79.09,77.68,79.05,96100
2010-06-14,80.29,80.59,78.74,78.77,115300
2010-06-15,79.74,81.13,79.33,81.03,69200
2010-06-16,80.34,81.45,80.05,80.96,76000
2010-06-17,80.98,81.07,80.03,80.98,75000
2010-06-18,81.11,81.57,80.44,81.44,41900
2010-06-21,82.57,83.06,80.69,81.19,129000
2010-06-22,81.15,81.29,78.69,78.87,159200
2010-06-23,78.76,78.79,77.81,78.17,96400
2010-06-24,77.7,78.17,76.26,76.49,83700
2010-06-25,76.66,77.43,75.85,76.81,72900
2010-06-28,76.88,77.11,75.76,75.79,68500
2010-06-29,74.87,74.87,72.85,73.22,150100
2010-06-30,73.23,74.26,72.6,72.84,84600
2010-07-01,72.93,73.37,71.17,72.55,132200
2010-07-02,73,73.25,71.69,72.32,148000
2010-07-06,73.5,74.24,72.19,72.91,83800
2010-07-07,73.09,75.53,73.09,75.53,77700
2010-07-08,76.44,76.6,75.2,76.5,150600
2010-07-09,76.36,76.97,76.14,76.94,282900
2010-07-12,76.52,77.21,75.95,76.66,52400
2010-07-13,77.9,78,77.19,77.63,113000
2010-07-14,77.33,77.9,76.75,77.41,56900
2010-07-15,77.35,77.7,76.15,77.49,67000
2010-07-16,77.12,77.12,75.09,75.32,54800
2010-07-19,75.86,76.35,75.15,75.9,64500
2010-07-20,75,77.63,74.9,77.48,48700
2010-07-21,78.05,78.05,75.82,76.42,82000
2010-07-22,77.5,78.69,77.38,78.15,54900
2010-07-23,77.9,78.51,77.09,78.51,88200
2010-07-26,78.46,79.38,78.42,79.38,79100
2010-07-27,79.86,79.86,78.4,79,52700
2010-07-28,78.8,79.26,78.44,78.79,43500
2010-07-29,79.65,80,78,78.87,43000
2010-07-30,77.95,79,77.81,78.69,54800
2010-08-02,80.32,81.6,80.02,81.37,136900
2010-08-03,80.98,81.92,80.69,81.51,107700
2010-08-04,81.61,82.3,81.35,82.21,74400
2010-08-05,81.69,82.24,81.26,82.24,51000
2010-08-06,81.41,81.82,80.39,81.35,68900
2010-08-09,81.8,81.97,81.33,81.75,62700
2010-08-10,80.91,81.4,80.26,80.97,616400
2010-08-11,79.67,79.67,78.36,78.55,111100
2010-08-12,77.62,78.73,77.25,78.13,60600
2010-08-13,78.01,78.68,77.76,77.95,43400
2010-08-16,77.56,78.14,77.09,77.9,82800
2010-08-17,78.66,79.68,78.4,79.28,56900
2010-08-18,79.1,79.1,77.95,78.51,66500
2010-08-19,78.08,78.33,76.87,77.24,70000
2010-08-20,76.95,76.95,75.69,76.26,59400
2010-08-23,76.39,77.07,76.31,76.33,68100
2010-08-24,75.22,76.18,74.9,75.24,171500
2010-08-25,74.75,75.28,73.88,75.08,183900
2010-08-26,75.42,75.71,74.11,74.42,114100
2010-08-27,74.89,76.53,73.85,76.48,83300
2010-08-30,76.17,76.53,75.37,75.41,44400
2010-08-31,75.12,75.74,74.72,75.18,53300
2010-09-01,76.42,78.14,76.27,77.99,93800
2010-09-02,78.2,78.67,77.7,78.66,45500
2010-09-03,79.29,79.78,78.85,79.43,55000
2010-09-07,78.99,79,78.09,78.26,52400
2010-09-08,78.31,79.23,78.31,78.85,77600
2010-09-09,79.9,79.99,78.84,79.02,39900
2010-09-10,79.42,80.07,79.42,79.92,49700
2010-09-13,80.62,80.74,80.05,80.45,68600
2010-09-14,80.22,80.9,80,80.31,90300
2010-09-15,79.76,80.23,79.33,80.22,79100
2010-09-16,79.98,80.22,79.4,79.85,113800
2010-09-17,80.22,80.27,79.35,79.58,170100
2010-09-20,79.99,81.2,79.49,80.98,82400
2010-09-21,80.98,81.37,80.35,80.89,141300
2010-09-22,80.87,81.65,80.32,80.38,107800
2010-09-23,79.78,80.5,79.47,79.83,75900
2010-09-24,80.67,81.82,80.43,81.52,84200
2010-09-27,81.71,81.98,81.25,81.26,66900
2010-09-28,81.5,82.11,80.59,81.94,79700
2010-09-29,81.82,83.06,81.65,82.69,140100
2010-09-30,83.37,83.67,81.91,82.73,113800
2010-10-01,83.49,83.94,83,83.76,126300
2010-10-04,83.62,83.77,82.19,82.71,86800
2010-10-05,83.51,84.89,83.45,84.63,103200
2010-10-06,84.71,85.55,84.66,85.19,99800
2010-10-07,85.71,85.72,84.28,84.84,72500
2010-10-08,84.73,86.25,84.66,86.04,88500
2010-10-11,86.15,86.61,85.91,86.16,64400
2010-10-12,85.99,86.54,84.99,86.23,85700
2010-10-13,86.8,87.65,86.65,87.2,79000
2010-10-14,87.27,87.77,86.5,87.16,92200
2010-10-15,87.75,87.75,86.45,87.37,110900
2010-10-18,87.25,88.26,86.95,87.93,59400
2010-10-19,86.74,86.88,85.09,85.73,99000
2010-10-20,86,87.31,86,86.89,77500
2010-10-21,87.25,87.78,85.83,86.62,75200
2010-10-22,86.98,87.42,86.82,87.12,55000
2010-10-25,87.85,88.51,87.24,87.25,96500
2010-10-26,87,87.57,86.78,87.39,58700
2010-10-27,86.85,87.13,85.91,87.08,98700
2010-10-28,87.62,87.78,86.61,86.91,37400
2010-10-29,86.54,87.08,86.27,86.95,80300
2010-11-01,87.72,88.36,86.78,87.2,85000
2010-11-02,87.8,88.53,87.57,88.22,110300
2010-11-03,88.5,88.5,87.14,88.41,95100
2010-11-04,89.7,91.22,89.7,91.13,155000
2010-11-05,91.31,91.54,90.9,91.51,103000
2010-11-08,91.18,92.16,91.13,92.16,114800
2010-11-09,92.51,93.38,91.58,92.03,135300
2010-11-10,92.54,93.41,91.5,93.41,113400
2010-11-11,93,94.37,92.97,94.36,101800
2010-11-12,93.54,93.77,92.15,92.88,133500
2010-11-15,93.56,93.56,92.48,92.48,89000
2010-11-16,91.6,91.6,89.91,90.7,94200
2010-11-17,90.71,91.52,90.26,91.1,162300
2010-11-18,92.01,93.24,91.99,93.03,87300
2010-11-19,92.87,93.79,92.04,93.79,107400
2010-11-22,93.42,93.57,91.86,93.57,156900
2010-11-23,92.29,92.29,90.98,91.7,91300
2010-11-24,92.2,93.4,92.2,93.34,65400
2010-11-26,92.66,92.93,92.1,92.4,43500
2010-11-29,91.98,93.1,91,92.85,131100
2010-11-30,91.87,93.25,91.52,92.58,122600
2010-12-01,94.27,95.39,94.15,95.11,89500
2010-12-02,95.39,96.59,95.25,96.49,146800
2010-12-03,96.14,97.13,96.11,97.05,127300
2010-12-06,97.05,97.66,96.85,97.4,168100
2010-12-07,98.69,98.79,97,97.17,283100
2010-12-08,97.34,97.73,96.15,96.71,100600
2010-12-09,97.33,97.33,96.1,96.9,80800
2010-12-10,97.18,97.4,96.71,97.32,81800
2010-12-13,97.93,98.81,97.93,98,129100
2010-12-14,98.23,98.42,97.32,97.61,146800
2010-12-15,97.39,97.99,96.82,96.97,134800
2010-12-16,97.04,97.61,96.3,97.61,222100
2010-12-17,97.67,97.78,97.16,97.58,90400
2010-12-20,98.12,98.59,97.5,98.32,163500
2010-12-21,98.91,99.5,98.54,99.39,173400
2010-12-22,98.54,98.57,98.2,98.51,145600
2010-12-23,98.49,98.84,98.36,98.71,103100
2010-12-27,98.31,98.5,98,98.36,95000
2010-12-28,98.74,98.82,98.26,98.72,98700
2010-12-29,98.99,99.87,98.9,99.6,180700
2010-12-30,99.7,100.18,99.39,99.78,141900
2010-12-31,99.42,100.14,99.4,99.67,123400
2011-01-03,100.8,101.21,100.43,100.6,269100
2011-01-04,101.3,101.3,98.85,99.84,259600
2011-01-05,99.48,100.29,98.94,100.18,197700
2011-01-06,100.55,100.61,98.96,99.38,183900
2011-01-07,99.39,100.32,99.05,100,218700
2011-01-10,99.77,99.89,98.9,99.79,183700
2011-01-11,100.45,101.35,100.22,101.31,217500
2011-01-12,102.22,102.64,101.72,102.53,225800
2011-01-13,102.65,102.96,101.92,102.32,139700
2011-01-14,102.24,103.4,101.83,103.35,133000
2011-01-18,103.49,104.06,103.07,104.06,291200
2011-01-19,104.18,104.35,102.58,102.69,263800
2011-01-20,102.09,102.17,100.46,101.85,218300
2011-01-21,102.98,103.11,101.85,102.33,139500
2011-01-24,102.39,102.88,101.85,102.66,242600
2011-01-25,102.41,102.54,101.19,102.22,256200
2011-01-26,102.65,104.93,102.62,104.68,465200
2011-01-27,104.86,104.97,103.76,104.25,305200
2011-01-28,104.28,104.58,103.52,103.85,196800
2011-01-31,104.6,106.69,104.28,106.68,261500
2011-02-01,107.12,108.79,107.09,108.62,331700
2011-02-02,108.39,109.36,107.98,108.57,471300
2011-02-03,108.69,108.69,107.25,108.64,176500
2011-02-04,108.65,108.88,107.67,108.24,179600
2011-02-07,108.75,109.86,108.75,109.06,245400
2011-02-08,108.99,109.05,107.81,108.7,220700
2011-02-09,108.17,108.61,106.63,107.35,211100
2011-02-10,106.73,108.59,106.71,108.44,184100
2011-02-11,108.19,109.04,107.84,108.44,149500
2011-02-14,108.45,111.01,108.45,110.9,267700
2011-02-15,110.87,110.98,109.29,109.71,193500
2011-02-16,110.25,111.27,109.95,111.18,225500
2011-02-17,111.25,112.5,111,112.26,359700
2011-02-18,112.41,112.92,111.75,112.64,274600
2011-02-22,113.17,114.14,110.97,111.53,413500
2011-02-23,112.07,114.35,112,113.54,547500
2011-02-24,114.1,114.1,111.47,112.11,376500
2011-02-25,112.45,113.97,112.28,113.96,195900
2011-02-28,114.43,115.06,113.64,114.71,336000
2011-03-01,115.3,115.58,112.53,112.65,289800
2011-03-02,112.39,113.35,111.37,113.22,267400
2011-03-03,113.88,115.1,113.56,114.99,216000
2011-03-04,115.21,115.21,113.58,114.42,208600
2011-03-07,115.14,115.7,113,113.6,220100
2011-03-08,113.68,113.68,111.68,112.67,227200
2011-03-09,112.36,113.07,111.57,111.86,151600
2011-03-10,110.33,110.53,107.45,107.75,474800
2011-03-11,106.71,110.32,106.45,109.6,350900
2011-03-14,108.87,110.4,108.31,110.14,268300
2011-03-15,106.51,110.08,106.24,109.21,275900
2011-03-16,109.54,110.47,106.34,107.45,535700
2011-03-17,109.02,111.05,108.82,110.67,174600
2011-03-18,111.63,112.13,110.1,110.43,197700
2011-03-21,112.05,113.55,111.93,113.55,268300
2011-03-22,113.75,113.9,112.94,113.31,272900
2011-03-23,113.33,113.82,112.5,113.45,232200
2011-03-24,113.96,114,112.72,113.78,214400
2011-03-25,113.82,115.3,113.65,114.95,109800
2011-03-28,114.9,116.05,114.55,114.7,225100
2011-03-29,114.36,116.23,114.13,115.99,175900
2011-03-30,116.73,117.45,115.96,116.99,180200
2011-03-31,117.52,118.25,116.73,116.73,173100
2011-04-01,117.85,118.07,116.85,117.23,165600
2011-04-04,117.68,117.9,117.12,117.32,203800
2011-04-05,117.21,118.19,117.06,117.6,119800
2011-04-06,118.28,118.43,115.88,116.29,153800
2011-04-07,116.12,116.84,115.4,116.42,86300
2011-04-08,117.02,117.67,116.18,116.86,89300
2011-04-11,117.11,117.11,114.07,114.35,174400
2011-04-12,113.01,113.19,110.23,110.98,657900
2011-04-13,111.77,112.33,110.56,111.41,120100
2011-04-14,110.85,112.47,110.39,112.17,118500
2011-04-15,112.53,113.36,111.68,113.28,109900
2011-04-18,111.91,111.91,110.3,111.42,239600
2011-04-19,111.3,112.7,111.3,112.56,107400
2011-04-20,114.67,115.11,114.08,115,151900
2011-04-21,115.38,115.89,114.8,115.78,137900
2011-04-25,115.8,115.89,114.51,115.19,105200
2011-04-26,115.43,116.5,115.16,116.37,137300
2011-04-27,116.88,116.88,114.38,116.3,107000
2011-04-28,115.86,116.61,115.17,116.03,150800
2011-04-29,116.16,118.09,116.16,118.09,168100
2011-05-02,118.32,118.43,115.66,116.4,198000
2011-05-03,115.69,115.69,112.48,113.42,269300
2011-05-04,113.03,113.09,110.35,111.25,372800
2011-05-05,109.52,110.7,107.72,108.95,618600
2011-05-06,109.83,111.81,108.32,109.37,402200
2011-05-09,109.91,111.91,109.73,111.34,207800
2011-05-10,111.44,112.41,110.56,111.96,162400
2011-05-11,111.43,111.43,107.93,108.69,314500
2011-05-12,108.06,109.3,106.49,108.5,438200
2011-05-13,108.86,109.48,106.93,107.92,243200
2011-05-16,107.26,109.21,106.74,106.95,280000
2011-05-17,106.34,107.42,105.62,106.87,323000
2011-05-18,107.23,109.92,107.07,109.18,218100
2011-05-19,109.82,110.17,108.47,109.33,219200
2011-05-20,109.23,110.12,107.85,109.25,189100
2011-05-23,107.19,108.05,106.84,107.58,249500
2011-05-24,108.45,110.09,108.45,108.88,151400
2011-05-25,108.4,111.25,108.26,110.66,145500
2011-05-26,110.37,111.6,109.87,111.37,118600
2011-05-27,112.11,112.88,111.24,111.72,111800
2011-05-31,113.31,113.58,111.66,112.91,93200
2011-06-01,112.51,113.09,109.9,110.25,159200
2011-06-02,110.28,111,108.87,109.99,158700
2011-06-03,108.36,110.95,108.15,109.94,152100
2011-06-06,109.55,110.09,107.31,107.49,212500
2011-06-07,108.25,108.78,107.2,107.36,210300
2011-06-08,107.45,109.05,107.45,107.7,123100
2011-06-09,108.4,109.61,108.02,109.09,105800
2011-06-10,108.27,108.4,106.88,107.05,74200
2011-06-13,107.07,107.79,104.33,105.33,187700
2011-06-14,106.66,108.06,106.66,107.47,131100
2011-06-15,106.28,107.24,104.61,105.2,146100
2011-06-16,105.15,106.21,104.26,105.32,157400
2011-06-17,106.3,106.34,104.46,105.1,78100
2011-06-20,104.45,105.58,104.28,105.31,80000
2011-06-21,106.05,108.05,106.05,107.49,104300
2011-06-22,107.14,108.64,106.89,107.14,180000
2011-06-23,105.06,106.2,103.37,106.09,195200
2011-06-24,106.1,106.3,104.06,104.22,129300
2011-06-27,103.9,105.27,103.6,104.73,125400
2011-06-28,105.54,107.69,105.46,107.65,115200
2011-06-29,108.14,109.67,107.65,109.04,109100
2011-06-30,109.46,110.73,109.45,110.55,126800
2011-07-01,110.39,111.81,109.5,111.73,122200
2011-07-05,111.72,112.87,111.6,112.41,191600
2011-07-06,112.28,112.33,111.16,112.16,142700
2011-07-07,113.41,114.03,112.95,113.66,191300
2011-07-08,112.04,113.04,111.82,112.97,198600
2011-07-11,111.27,111.48,110,110.45,168900
2011-07-12,110,111.58,109.91,110.08,81800
2011-07-13,110.61,112.56,110.58,111.03,212700
2011-07-14,112.02,112.4,110.15,110.2,86300
2011-07-15,111.56,113.47,111.56,113.4,107700
2011-07-18,112.99,113.14,112.1,112.84,77500
2011-07-19,113.7,114.97,113.48,114.88,184100
2011-07-20,115.59,115.59,114.46,114.73,68300
2011-07-21,115.29,116.9,115.29,116.72,198300
2011-07-22,116.92,117.53,116.22,117.36,165000
2011-07-25,115.88,117.74,115.8,116.94,294700
2011-07-26,117,117.44,116.08,116.47,149900
2011-07-27,115.52,115.8,113.81,114.09,139700
2011-07-28,113.53,114.79,113.13,113.37,181800
2011-07-29,111.82,113.2,111.5,112.29,220100
2011-08-01,114.51,114.51,111.15,112.23,308400
2011-08-02,111.48,112.66,109,109,239100
2011-08-03,109.24,109.25,105.91,108.51,333900
2011-08-04,106.5,106.51,100.45,100.7,596900
2011-08-05,101.99,102.85,96.05,99.91,711200
2011-08-08,96,97.27,91.01,91.32,613100
2011-08-09,92.93,95.85,89.49,95.81,538700
2011-08-10,94.69,96.42,92.34,92.83,360100
2011-08-11,93.52,98.85,92.8,97.52,383800
2011-08-12,99.19,99.47,97.66,98.3,252200
2011-08-15,99.46,101.75,99.42,101.67,211600
2011-08-16,100.02,101.25,98.69,99.71,415800
2011-08-17,100.85,101.98,99.71,100.23,191100
2011-08-18,97.13,97.36,93.44,94.39,289600
2011-08-19,93,95.83,92.35,92.51,206500
2011-08-22,95.6,95.6,91.42,91.75,289800
2011-08-23,92.29,96.11,91.81,96.06,181100
2011-08-24,95.61,96.73,94.61,96.53,159300
2011-08-25,97.19,97.71,93.94,94.32,206600
2011-08-26,93.47,96.68,92.5,96.28,226100
2011-08-29,97.83,99.4,97.2,99.26,173800
2011-08-30,98.68,100.43,97.85,99.8,161900
2011-08-31,100.74,101.89,99.44,100.29,449600
2011-09-01,100.68,101.74,99.37,99.49,172900
2011-09-02,97.35,97.75,96.03,96.78,140100
2011-09-06,93.43,95.82,93,95.68,185800
2011-09-07,97.34,99.43,97.26,99.38,140400
2011-09-08,98.98,100.2,97.7,98.22,136300
2011-09-09,96.56,97.45,94.35,95.07,66000
2011-09-12,93.24,95.43,92.8,95.43,141600
2011-09-13,95.78,96.38,94.21,95.84,212700
2011-09-14,96.25,98.4,94.61,97.04,166400
2011-09-15,98.38,99,97.44,98.95,64700
2011-09-16,99.35,99.63,97.68,98.71,140800
2011-09-19,96.34,98.04,95.42,97.32,177200
2011-09-20,97.83,98.76,96.46,96.54,128900
2011-09-21,96.25,96.55,92.52,92.61,193600
2011-09-22,89.59,89.59,85.84,87.4,474500
2011-09-23,86.61,87.75,86,86.5,284500
2011-09-26,87.01,89.77,85.49,89.66,292300
2011-09-27,92.07,93.39,90.51,90.95,275900
2011-09-28,91.35,91.93,87.87,87.98,173500
2011-09-29,90.14,90.31,87,88.89,269100
2011-09-30,87.23,88.46,86.34,86.34,277800
2011-10-03,85.12,86.04,82.95,82.95,341200
2011-10-04,81.51,86.01,79.78,85.82,501300
2011-10-05,86.37,89.12,85.15,88.83,477200
2011-10-06,88.5,90.54,87.68,90.47,293200
2011-10-07,90.9,91.13,88.48,89.29,271100
2011-10-10,91.34,93.42,91.05,93.42,148000
2011-10-11,92.6,94.4,92.5,93.47,68900
2011-10-12,94.5,95.67,93.9,94.49,185500
2011-10-13,93.69,94.63,92.45,94.24,164100
2011-10-14,95.8,97.83,95.8,97.79,130100
2011-10-17,97.57,97.86,95.96,96,71000
2011-10-18,96.04,99.79,95,99.18,193800
2011-10-19,98.97,100.14,97.66,98.12,152600
2011-10-20,97.86,99,96.75,98.75,121500
2011-10-21,100,101,99.5,100.6,149400
2011-10-24,100.98,102.24,100.74,102.06,146400
2011-10-25,101.88,101.96,99.27,99.58,157100
2011-10-26,101.16,102.41,99.16,102.05,169200
2011-10-27,104.86,107.33,104.4,106.38,302900
2011-10-28,105.98,107.25,105,106.91,141700
2011-10-31,105.43,105.43,102.27,102.27,84400
2011-11-01,97.85,100.28,97.19,98.91,276300
2011-11-02,101.17,102.06,100.34,101.88,140600
2011-11-03,103.05,104.73,101.8,104.44,200100
2011-11-04,103.65,104.78,102.61,104.49,122200
2011-11-07,104.87,105.75,103.25,105.11,148900
2011-11-08,106,106.84,104.49,106.67,149100
2011-11-09,103.73,104.52,101.66,101.92,191100
2011-11-10,103.51,104.36,101.75,103.63,192000
2011-11-11,104.99,106.05,104.78,105.55,165400
2011-11-14,104.69,105.26,103.38,104.31,142700
2011-11-15,103.93,105.17,103.4,104.42,166300
