Symbol: QQQ,,,,,Study: VOL (LikeMain)
Date Time,Open,High,Low,Close,Volume
5/16/00,76.1404,77.4094,74.4992,76.8257,28083526
5/17/00,75.5059,76.5634,74.2369,75.2436,24041729
5/18/00,75.2944,75.599,72.2234,72.5449,22532973
5/19/00,70.8529,71.9104,68.7886,69.1101,33307274
5/22/00,69.0509,69.5839,63.941,69.0509,51867090
5/23/00,68.8394,69.8969,62.8158,63.2896,37704879
5/24/00,63.4503,67.5704,61.1238,67.2574,58481920
5/25/00,67.8919,69.5839,64.7193,65.7769,35026618
5/26/00,65.7769,67.0459,64.0848,65.7769,21516653
5/30/00,67.6804,72.7056,67.6804,72.3842,37340670
5/31/00,71.462,73.3232,70.0069,70.3199,35077117
6/1/00,72.0711,74.7614,71.0644,73.9154,34271103
6/2/00,78.3569,79.4737,69.7954,79.203,37443270
6/5/00,78.0439,80.6327,77.7224,79.406,28113675
6/6/00,78.8392,80.3704,76.8764,77.1979,27423617
6/7/00,77.4602,79.5244,75.7682,79.2622,26624432
6/8/00,80.049,80.2605,77.5109,78.8899,22829434
6/9/00,80.1589,80.1589,78.6784,79.3129,20111719
6/12/00,79.7867,79.7867,76.1404,76.7749,19485359
6/13/00,76.5634,80.049,75.599,79.7359,29772783
6/14/00,80.2605,80.2605,77.4094,77.9339,23965014
6/15/00,77.7224,79.4145,76.8764,79.3129,22231330
6/16/00,80.1589,80.6327,78.7292,79.7359,25062994
6/19/00,79.5413,83.12,78.4162,82.9085,23690755
6/20/00,83.12,84.3382,82.2232,82.587,24808722
6/21/00,81.9017,84.3636,81.8002,83.6445,24681419
6/22/00,83.433,83.7545,79.9474,80.5819,25445145
6/23/00,80.3704,80.7934,77.2994,77.4094,29418404
6/26/00,78.7292,79.8797,77.8324,79.5244,26204596
6/27/00,79.3298,80.4212,78.1454,78.5684,17477457
6/28/00,78.6615,80.7934,78.2554,79.5244,22765607
6/29/00,78.6277,78.9915,76.6649,77.5279,25243112
6/30/00,77.6717,79.4821,77.2487,79.0507,17911362
7/3/00,79.1014,80.5819,78.8899,80.5819,6160725
7/5/00,79.203,79.499,76.8764,77.4602,19490432
7/6/00,77.4602,80.1589,76.1912,79.5244,27889576
7/7/00,80.3704,82.0624,79.8967,81.1657,19625421
7/10/00,80.1082,81.1065,79.5244,79.9305,14963752
7/11/00,79.5752,81.0049,78.5177,80.3704,16991167
7/12/00,80.7427,82.6969,80.049,82.2739,21575071
7/13/00,82.8577,84.389,82.164,83.3315,23128348
7/14/00,84.812,85.548,83.5937,85.125,20353786
7/17/00,85.3957,86.3432,84.4905,86.081,15532415
7/18/00,84.9135,85.2603,83.213,84.1775,24449027
7/19/00,83.1707,83.7037,80.9288,82.2739,25801883
7/20/00,82.7985,85.0235,82.2909,84.9135,23074574
7/21/00,83.2807,84.1944,82.0624,82.0624,17034668
7/24/00,82.8577,83.7545,79.7359,80.3704,21961120
7/25/00,80.895,82.0624,79.3637,81.0049,22536177
7/26/00,80.7934,81.318,78.8899,80.895,24017234
7/27/00,79.4737,80.4212,77.4602,77.7224,30900325
7/28/00,77.9932,78.5684,72.7564,73.4924,43126965
7/31/00,74.1269,76.2419,72.5195,75.6667,32635616
8/1/00,75.9797,76.1235,74.1861,74.6599,18619050
8/2/00,74.3384,76.4704,73.1794,73.3401,27870075
8/3/00,71.2759,77.1979,70.4806,76.5127,42404826
8/4/00,77.8324,78.4838,75.3959,76.2419,26339587
8/7/00,76.8764,78.7038,76.3519,78.0439,17852509
8/8/00,77.8832,79.7359,77.4094,79.626,17532164
8/9/00,79.2622,79.8967,77.2994,77.5109,22044573
8/10/00,77.6717,78.027,75.7174,75.9797,18127791
8/11/00,75.5059,77.0795,74.3384,77.0372,24882362
8/14/00,77.2994,78.6784,76.3096,78.6784,14821792
8/15/00,78.4669,79.5075,77.8324,78.6784,16655117
8/16/00,79.0507,80.1082,77.8324,79.4737,18020344
8/17/00,78.6277,81.1065,78.5684,81.0049,17130413
8/18/00,81.1657,81.741,80.1082,80.5819,17383719
8/21/00,81.2164,81.944,79.8375,80.7934,16028407
8/22/00,81.2164,82.367,80.5988,80.7934,17586436
8/23/00,80.1082,82.4347,79.3806,82.1132,25291118
8/24/00,82.4347,83.4922,81.2672,83.3822,16037385
8/25/00,83.3145,84.5582,82.0624,82.9338,13906194
8/28/00,83.12,84.4651,82.8577,83.3315,14555705
8/29/00,83.433,83.8983,82.79,83.7545,13194719
8/30/00,83.1707,84.1775,82.7139,83.6445,12464822
8/31/00,84.279,86.2925,83.6445,85.971,18426257
9/1/00,87.1385,87.5784,85.6072,86.817,16633359
9/5/00,85.971,86.081,84.1098,84.1775,19324117
9/6/00,83.966,84.1605,80.7934,81.2164,24781083
9/7/00,81.9017,84.1098,81.6902,83.01,19704022
9/8/00,82.7139,82.9085,80.1759,80.472,27748297
9/11/00,79.9474,81.318,77.8324,78.5177,32224523
9/12/00,79.1014,80.1082,76.8511,77.2994,28671255
9/13/00,76.3519,79.4145,76.1404,79.1014,40298967
9/14/00,80.5819,81.1657,78.3739,78.6784,33824060
9/15/00,78.7799,79.203,76.7242,77.2487,29544274
9/18/00,77.6717,78.6784,74.4484,76.0304,34537062
9/19/00,76.7749,79.3383,76.0304,78.8392,32586924
9/20/00,78.9915,80.565,77.2487,80.049,39152484
9/21/00,79.3129,79.9305,73.6024,74.2369,29587783
9/22/00,74.1269,78.8899,74.0254,78.6277,39846222
9/25/00,79.203,79.7359,76.1404,76.538,24303424
9/26/00,76.7918,78.2554,75.2267,75.6667,30745911
9/27/00,76.6649,77.1472,74.4484,75.7682,33667531
9/28/00,75.0575,78.6784,75.0575,77.4602,34337867
9/29/00,77.8324,78.2131,75.0321,75.0829,32149708
10/2/00,76.3519,76.3519,72.7564,73.3909,29513079
10/3/00,74.4992,75.1337,70.4468,71.0644,42235223
10/4/00,70.6414,73.484,69.4739,72.4349,44529437
10/5/00,72.1219,73.7631,71.5381,72.6464,27710376
10/6/00,72.3842,73.2302,68.7379,70.2184,42949875
10/9/00,69.8461,70.9036,67.1474,69.8969,34083269
10/10/00,69.2116,70.4806,65.8784,66.2506,41705691
10/11/00,65.0324,68.0611,64.3471,65.1931,57284095
10/12/00,67.0459,67.3081,62.9512,63.5519,62911685
10/13/00,63.1881,69.0509,63.1289,68.7379,50129970
10/16/00,68.6279,69.6346,67.4689,69.3724,32676998
10/17/00,70.3199,70.3622,65.9884,66.1999,61585210
10/18/00,64.9309,68.6871,63.0781,65.9884,76068568
10/19/00,69.7023,72.0035,68.8986,71.9611,52338878
10/20/00,71.4874,74.3384,71.3943,73.0187,48099235
10/23/00,72.9171,74.0254,71.1659,72.9171,34266025
10/24/00,73.1286,73.6024,69.6854,69.7954,37193876
10/25/00,68.7379,69.3724,65.0493,65.8784,57488319
10/26/00,66.1491,67.6804,62.2829,67.5704,82731569
10/27/00,68.4079,69.2539,65.5484,67.4435,60338197
10/30/00,66.1491,67.5704,64.0425,64.9478,41958028
10/31/00,65.9884,69.8461,65.8784,69.1186,51848162
11/1/00,67.9426,70.0576,66.9951,68.5264,53411508
11/2/00,69.5331,70.4299,68.5771,69.3724,31435163
11/3/00,70.1084,71.0136,69.0678,70.2691,35268269
11/6/00,70.7429,71.1659,69.3724,69.7446,27760851
11/7/00,68.8986,69.77,67.8919,69.4739,28763909
11/8/00,69.4739,69.5839,63.9749,64.0425,47680858
11/9/00,63.2388,65.0916,61.7583,64.0341,76779590
11/10/00,62.8158,64.0341,60.7008,60.7008,58197701
11/13/00,60.024,62.7651,57.7567,60.7939,88679651
11/14/00,61.7583,64.2964,61.5468,64.161,52989651
11/15/00,63.9241,66.0391,63.2811,65.4554,44634375
11/16/00,63.7634,65.1424,61.6484,61.6484,40069138
11/17/00,61.9191,63.6111,60.0663,61.6145,58999462
11/20/00,60.0156,60.9631,58.5858,59.1019,55392471
11/21/00,59.3811,60.1678,57.9006,59.0088,49797146
11/22/00,57.9006,59.3218,56.2593,56.3608,66930756
11/24/00,57.8413,59.7448,57.6721,59.5926,23626217
11/27/00,61.3861,61.7076,58.1628,58.8481,41863351
11/28/00,58.3236,59.1696,55.2526,55.371,57697915
11/29/00,55.6756,56.4708,52.8753,53.2475,78237559
11/30/00,52.2408,54.3558,51.1833,53.2814,88406798
12/1/00,54.1951,56.4877,52.5623,54.1443,67508493
12/4/00,54.2458,55.2949,52.2408,54.9903,58044953
12/5/00,55.8871,60.0663,55.4133,59.8041,90462579
12/6/00,59.7195,61.1661,57.3168,57.5283,74883888
12/7/00,56.6823,58.3574,55.4133,56.2593,49031772
12/8/00,60.1425,62.1813,57.2068,57.5283,77844632
12/11/00,60.9631,63.2642,60.024,62.9174,61264169
12/12/00,62.1813,62.4944,60.3286,60.6247,36707242
12/13/00,62.1306,62.1813,57.7906,58.1459,61065385
12/14/00,57.9682,58.9581,55.2018,55.3033,49128242
12/15/00,54.3558,55.5148,52.926,54.0428,69770391
12/18/00,55.1257,55.8109,52.926,54.1443,50768041
12/19/00,53.679,55.7179,49.7028,50.0243,95140296
12/20/00,48.4845,49.3897,46.3188,47.1478,96254984
12/21/00,46.5472,49.7028,45.8957,47.427,101507299
12/22/00,48.7552,51.3948,48.6453,51.1833,67659178
12/26/00,51.2594,52.3846,49.0683,51.5048,43832828
12/27/00,50.498,52.613,49.8635,52.08,40136340
12/28/00,51.4202,52.8584,50.9718,51.9785,36639178
